UWI,"Depth subsea, m","MD, m_x","Elev above sea, m","BHT, C",Formation,"Synthetic Temp, C","Static Temp, C","Depth, m","True Temp, C",source,label,"KB Elev, m","TVD, m","MD, m_y","DST BHT, C"
100020206419W500,1742.7999999999997,2496.8999999999996,754.1,82.22,Dwintrbrn,,,,,,test,,,,
100020206508W500,384.6,1248.5,863.9,52.5,Kostracod,55.52,,,55.52,synthetic,train,863.9,,1282.0,53.0
100020403021W400,895.5999999999999,1597.6,702.0,51.11,Dnisku,62.6,,,62.6,synthetic,train,702.0,,1595.95,72.22
100020605904W500,1593.15,2245.75,652.6,78.89,Clynx,,,,,,test,652.6,,1506.75,
100020606216W500,1411.35,2323.35,912.0,77.22,Dwabamun,,,,,,test,912.0,,1601.55,
100020606512W500,1719.7,2763.0,1043.3,81.11,Dswan_hl,102.44,,,102.44,synthetic,train,1043.3,,2763.0,81.11
100020807907W500,1043.0,1702.0,659.0,51.4,Dgilwood,66.16,,,66.16,synthetic,train,659.0,,1702.0,51.4
100021106720W500,917.4499999999999,1687.05,769.6,48.89,TRmontney,69.36,,,69.36,synthetic,train,769.6,,1277.4,
100021306113W500,1774.85,2586.95,812.1,80.3,Dswan_hl,89.84,,,89.84,synthetic,train,812.1,,2586.95,80.3
100021406411W500,1597.7500000000005,2649.3500000000004,1051.6,86.11,Dswan_hl,101.41,,,101.41,synthetic,train,1051.6,,2649.3500000000004,86.11
100021406418W500,1429.85,2250.35,820.5,98.89,Dwabamun,81.52,,,81.52,synthetic,train,820.5,,2250.35,98.89
100021503426W400,43.60000000000002,1020.5,976.9,34.7,Kbelly_rv,,,,,,test,976.9,,1020.5,34.7
100021506315W500,828.3,1768.6,940.3,54.44,Jfernie,71.81,,,71.81,synthetic,train,940.3,,1739.05,
100021506419W500,978.45,1723.95,745.5,50.0,Kgething,68.5,,,68.5,synthetic,train,745.5,,1723.95,50.0
100021506718W500,2006.5,2822.0,815.5,89.3,Dswan_hl,,,,,,test,815.5,,2824.5,90.0
100021708007W500,1015.7,1682.5,666.8,42.4,Dmuskeg,65.56,,,65.56,synthetic,train,666.8,,1682.5,42.4
100021805706W500,663.8499999999999,1395.35,731.5,35.56,Mbanff,54.63,,,54.63,synthetic,train,731.5,,1395.35,35.56
100021806218W500,780.1000000000001,1660.4,880.3,54.44,Kvik_ss,64.7,,,64.7,synthetic,train,880.3,,795.8,
100021806318W500,2277.25,3075.85,798.6,96.11,Dgilwood,,,,,,test,798.6,1519.55,1519.6,54.44
100021906119W500,898.3,1795.6,897.3,58.33,Kviking,70.12,,,70.12,synthetic,train,897.3,,1795.6,58.33
100022005123W400,249.10000000000002,992.0,742.9,39.5,Kvik_ss,,,,,,test,742.9,,992.0,39.5
100022006107W600,2511.6,3573.5,1061.9,118.33,Jnikanssn,,,,,,not assigned,1061.9,,3573.5,118.33
100022007907W500,1036.9,1693.0,656.1,41.6,Dgilwood,65.1,,,65.1,synthetic,train,656.1,,577.25,
100022008108W500,1087.1,1740.5,653.4,50.0,Dkeg_rv,66.98,,,66.98,synthetic,train,653.4,,1663.0,50.0
100022106317W500,2095.5499999999997,3030.95,935.4,96.67,Dbvrhl_lk,106.26,,,106.26,synthetic,train,935.4,,1589.2,
100022208108W500,1113.4,1772.4,659.0,61.11,Dgrn_wash,68.64,,,68.64,synthetic,train,659.0,,1772.4,61.11
100022306625W500,2629.3500000000004,3383.15,753.8,98.89,Dswan_hl,110.08,,,110.08,synthetic,train,753.8,,3383.15,98.89
100022406617W500,715.95,1519.75,803.8,57.78,Kgething,65.02,,,65.02,synthetic,train,803.8,,1478.0,
100022706319W500,1009.2,1805.9,796.7,76.67,Jfernie,70.07,117.6111111,3074.51750161544,117.6111111,static,train,796.7,,1805.9,76.67
100022706625W500,524.2499999999999,1260.35,736.1,42.22,Kdunvegan,,,,,,test,736.1,,1260.35,42.22
100022806320W500,373.5500000000002,1160.5500000000002,787.0,42.22,Kcard_ss,43.8,,,43.8,synthetic,train,787.0,,1578.3000000000002,58.89
100022806419W500,666.3,1412.1,745.8,48.89,Kmannvl,55.9,111.0555556,2945.2823057509663,111.0555556,static,train,745.8,,1412.1,48.89
100023008008W500,1133.9,1797.4,663.5,43.33,preCamb,69.18,,,69.18,synthetic,train,663.5,,1703.2,
100023206413W500,1704.6,2871.5,1166.9,94.6,Dswan_hl,108.51,,,108.51,synthetic,train,,,,
100023206414W500,668.6499999999999,1744.85,1076.2,65.56,Kgething,71.67,,,71.67,synthetic,train,1076.2,,1744.85,65.56
100023303322W400,468.64999999999986,1315.35,846.7,47.78,Kvik_ss,51.39,,,51.39,synthetic,train,846.7,,1315.35,47.78
100023306507W500,1408.05,2260.25,852.2,70.0,Dmuskeg,84.49,,,84.49,synthetic,train,852.2,,2260.25,70.0
100023407808W500,1084.65,1740.25,655.6,49.0,Dmuskeg,,,,,,test,655.6,,1740.25,49.0
100023506212W500,1654.3,2694.0,1039.7,60.0,Dswan_hl,98.77,,,98.77,synthetic,train,1039.7,,2694.0,60.0
100023506213W500,1725.5500000000002,2731.65,1006.1,90.56,Dswan_hl,99.86,,,99.86,synthetic,train,,,,
100023608010W500,1060.5,1721.5,661.0,49.86,Dmuskeg,64.9,,,64.9,synthetic,train,661.0,,1721.5,49.86
100030906512W500,1713.3,2714.5,1001.2,30.56,Dwatt_mtn,,,,,,test,1001.2,,2714.5,30.56
100031204517W500,2485.7,3663.0,1177.3,97.1,Kcadomin,,,,,,not assigned,,,,
100031305615W500,943.6000000000001,1824.8000000000002,881.2,53.89,Kvik_ss,,,,,,test,881.2,,2097.15,
100031508009W500,1129.8,1781.0,651.2,44.0,Dgrn_wash,,,,,,test,651.2,,1723.0,52.0
100032106921W500,822.05,1475.25,653.2,47.78,TRmontney,61.69,,,61.69,synthetic,train,653.2,,1475.25,47.78
100032205219W500,1159.7,2148.5,988.8,41.0,Kcardium,,,,,,test,988.8,,2148.5,41.0
100032206603W600,852.5,1637.5,785.0,46.0,Kdunvegan,62.96,,,62.96,synthetic,train,785.0,,1637.5,46.0
100032405416W500,1338.8000000000002,2192.3,853.5,78.3,Kostracod,78.41,,,78.41,synthetic,train,853.5,2192.3,2193.0,78.3
100032506117W500,986.6,1911.7,925.1,57.22,Kgething,,,,,,test,925.1,,1648.5,
100032604920W500,993.8,2137.5,1143.7,60.5,Kbelly_rv,70.51,,,70.51,synthetic,train,,,,
100033006726W500,2761.2999999999997,3523.7,762.4,80.0,Dslave_pt,114.42,,,114.42,synthetic,train,762.4,2224.7,2226.0,
100033008009W500,1074.75,1729.75,655.0,48.89,Dmuskeg,65.05,,,65.05,synthetic,train,655.0,,1729.75,48.89
100033206015W500,988.6000000000001,1754.9,766.3,68.33,Jfernie,69.2,,,69.2,synthetic,train,766.3,,1754.9,68.33
100033206322W500,1239.1,2066.5,827.4,72.3,Kcadomin,79.32,,,79.32,synthetic,train,827.4,,1969.0,
100040206609W500,427.8000000000002,1451.3000000000002,1023.5,49.44,Kmannvl,63.48,,,63.48,synthetic,train,1023.5,,1451.3000000000002,49.44
100040207011W500,1449.1499999999999,2394.95,945.8,66.11,Dwatt_mtn,89.78,,,89.78,synthetic,train,945.8,,2394.95,66.11
100040306718W500,2019.9,2832.5,812.6,96.67,Dswan_hl,97.76,,,97.76,synthetic,train,812.6,,2832.5,96.67
100040403610W500,-542.3000000000001,993.4,1535.7,22.0,Dnisku,,,,,,not assigned,1535.7,834.5,835.0,20.0
100040506215W500,878.6,1832.5,953.9,61.0,Kgething,,,,,,test,953.9,,1832.5,61.0
100040705920W400,183.9000000000001,822.2,638.3,28.89,Dwabamun,38.36,,,38.36,synthetic,train,638.3,,822.2,28.89
100040706512W500,1715.7500000000002,2766.05,1050.3,81.11,Dswan_hl,102.66,,,102.66,synthetic,train,,,,
100040706523W500,2593.5499999999997,3463.45,869.9,103.33,Dswan_hl,110.37,,,110.37,synthetic,train,869.9,,3464.05,103.33
100040808007W500,1022.4,1687.5,665.1,39.1,Dgilwood,,,,,,test,,,,
100040907910W500,1194.5,1842.5,648.0,57.0,preCamb,68.46,,,68.46,synthetic,train,648.0,,1772.5,57.0
100041007824W500,290.85,674.25,383.4,35.0,Kbluesky,33.91,,,33.91,synthetic,train,383.4,,674.25,35.0
100041106519W500,863.6499999999999,1657.35,793.7,28.89,Kbluesky,66.52,,,66.52,synthetic,train,793.7,,1422.8000000000002,52.22
100041206410W500,502.0,1474.0,972.0,33.33,Kglauc_ss,65.49,,,65.49,synthetic,train,972.0,,1525.5500000000002,57.78
100041206613W500,1704.0,2849.5,1145.5,91.4,Dswan_hl,106.14,,,106.14,synthetic,train,1145.5,,2867.0,
100041206926W500,2525.0,3273.0,748.0,90.0,Dbvrhl_lk,105.14,,,105.14,synthetic,train,748.0,,3273.0,90.0
100041407808W500,1074.4499999999998,1743.4499999999998,669.0,56.67,Dgilwood,67.08,,,67.08,synthetic,train,669.0,,1743.4499999999998,56.67
100041603305W500,1685.1,2832.1,1147.0,78.33,KblairmrL,99.41,,,99.41,synthetic,train,1147.0,2832.1,2832.4,78.33
100041606219W500,1067.25,1941.45,874.2,70.0,Kgething,74.67,,,74.67,synthetic,train,874.2,,1691.65,
100041706214W500,1876.45,2833.25,956.8,84.44,Dswan_hl,101.5,,,101.5,synthetic,train,,,,
100041708009W500,1079.9499999999998,1729.4499999999998,649.5,64.44,Dmuskeg,65.12,,,65.12,synthetic,train,649.5,1729.4499999999998,1758.1999999999998,64.44
100041806523W500,332.19999999999993,1193.6,861.4,43.33,Kcard_ss,45.08,,,45.08,synthetic,train,861.4,,1193.6,43.33
100041903905W500,500.44999999999993,1470.05,969.6,48.89,Kbelly_rv,50.22,,,50.22,synthetic,train,969.6,,1470.05,48.89
100042103812W500,2470.0999999999995,4113.9,1643.8,79.44,Kostracod,,,,,,not assigned,1643.8,,2771.55,83.33
100042108108W500,1090.4,1748.8000000000002,658.4,48.89,Dkeg_rv,68.02,,,68.02,synthetic,train,658.4,,1665.9,
100042203707W500,1209.4499999999996,2254.6499999999996,1045.2,65.56,Kcard_ss,77.15,,,77.15,synthetic,train,1045.2,2254.65,2254.95,65.56
100042206623W500,1244.05,2078.85,834.8,91.11,PRbelloy,,,,,,test,834.8,,1971.8,
100042206918W500,573.6499999999999,1486.85,913.2,48.89,Kgething,,,,,,test,913.2,,1249.1,
100042304007W500,994.5500000000001,1976.95,982.4,54.44,Kcard_ss,67.98,,,67.98,synthetic,train,982.4,,1976.95,54.44
100042606601W600,1612.4,2431.0,818.6,75.5,PRbelloy,94.96,,,94.96,synthetic,train,818.6,,2431.0,75.5
100042608008W500,1030.9499999999998,1694.85,663.9,43.89,Dmuskeg,,,,,,test,663.9,,1694.85,43.89
100042706322W500,434.20000000000005,1272.7,838.5,37.78,Kcard_ss,,,,,,test,838.5,,1272.7,37.78
100042803323W400,723.2,1568.0,844.8,54.8,Mbanff,62.51,,,62.51,synthetic,train,,,,
100042808108W500,1015.45,1664.95,649.5,44.44,Dmuskeg,,,,,,test,649.5,,1664.95,44.44
100043008007W500,1019.65,1688.25,668.6,45.0,Dgilwood,65.74,,,65.74,synthetic,train,668.6,,1688.25,45.0
100043106509W500,1489.0000000000002,2512.8,1023.8,85.0,Dswan_hl,95.03,,,95.03,synthetic,train,1023.8,,2512.8,85.0
100043107019W500,1950.1000000000001,2717.3,767.2,71.11,Dswan_hl,,,,,,test,767.2,,1306.35,
100043206618W500,2109.65,2871.65,762.0,71.11,Dgilwood,97.52,,,97.52,synthetic,train,762.0,2803.0,2804.6000000000004,68.33
100043306616W500,639.7,1494.5,854.8,60.6,Kgething,64.11,,,64.11,synthetic,train,854.8,,1494.5,60.6
100043406718W500,1440.35,2214.85,774.5,65.56,Dwabamun,,,,,,test,774.5,,2221.05,76.67
100043505018W500,2253.6,3256.0,1002.4,99.2,Mbanff,,,,,,test,1002.4,,3256.0,99.2
100043506919W500,1918.3000000000002,2757.4,839.1,66.0,Dswan_hl,96.82,,,96.82,synthetic,train,839.1,1544.9,1545.0,
100043606507W500,1386.2500000000002,2194.55,808.3,66.67,Dmuskeg,82.91,,,82.91,synthetic,train,808.3,,2194.55,66.67
100050506418W500,661.8500000000001,1454.65,792.8,50.0,Kcadotte,56.66,92.77777778,2529.8399190451228,92.77777778,static,train,792.8,,1454.65,50.0
100050705624W502,1199.4,2303.0,1103.6,47.9,Kbadheart,,,,,,test,,,,
100050806905W600,2627.95,3288.15,660.2,78.33,Dwintrbrn,,,,,,test,660.2,,3268.85,81.11
100051006826W500,981.5,1669.5,688.0,51.8,Kbluesky,67.28,,,67.28,synthetic,train,688.0,,1669.5,51.8
100052107723W500,600.1,1158.5,558.4,37.7,Mdebolt,,,,,,test,,,,
100052206625W500,801.2,1571.0,769.8,51.7,Kspirit_r,,,,,,test,769.8,,1571.0,51.7
100053106213W500,837.4,1728.0,890.6,69.0,Mshunda,70.32,,,70.32,synthetic,train,890.6,,1728.0,69.0
100053106224W500,1631.2,2528.0,896.8,84.2,TRmontney,96.43,,,96.43,synthetic,train,896.8,,2528.0,84.2
100053106506W500,488.85,1285.95,797.1,40.56,Dwabamun,,,,,,test,797.1,,1157.3,43.33
100053408009W500,1104.6,1752.5,647.9,44.0,Dkeg_rv,66.18,,,66.18,synthetic,train,647.9,,1750.5,44.0
100053606118W500,1026.7,1896.0,869.3,42.0,Kgething,73.33,,,73.33,synthetic,train,869.3,,1446.0,
100060106315W500,902.3500000000001,1816.15,913.8,46.67,Mshunda,,,,,,test,913.8,,1816.15,46.67
100060305107W500,969.8500000000001,1794.0500000000002,824.2,33.33,Jpokerchp,67.15,,,67.15,synthetic,train,824.2,,1738.0,
100060306506W500,173.14999999999998,954.05,780.9,34.44,Kmannvl,,,,,,test,780.9,,915.9,
100060404101W500,956.75,1845.55,888.8,61.11,Kmannvl,70.18,,,70.18,synthetic,train,888.8,,1055.5,
100060505514W500,1011.35,1824.25,812.9,59.44,Kvik_ss,,,,,,test,812.9,,2075.65,
100060506322W500,508.35,1389.25,880.9,37.78,Kcard_ss,50.4,,,50.4,synthetic,train,880.9,,2200.65,74.44
100060603720W400,782.45,1627.65,845.2,60.0,Dnisku,64.5,,,64.5,synthetic,train,845.2,,1627.65,60.0
100060605514W500,2267.5999999999995,3125.8999999999996,858.3,139.44,Dswan_hl,,,,,,test,858.3,,3125.9,139.44
100060606219W500,2345.9,3216.4,870.5,135.56,Dswan_hl,106.13,,,106.13,synthetic,train,870.5,,3216.4,135.56
100060606515W500,825.1,1844.5,1019.4,59.4,Mshunda,73.61,,,73.61,synthetic,train,1019.4,,1746.25,67.0
100060608108W500,1093.9,1745.0,651.1,45.0,Dkeg_rv,67.53,,,67.53,synthetic,train,651.1,,1675.0,
100060706022W500,2137.3,3244.3,1107.0,95.0,Dwabamun,114.53,,,114.53,synthetic,train,1107.0,1828.75,1828.8,
100060805217W500,1465.2000000000003,2429.3,964.1,77.22,Kmannvl,83.67,,,83.67,synthetic,train,964.1,,2429.3,77.22
100060807808W500,-66.60000000000002,600.5,667.1,58.9,Mpekisko,32.52,,,32.52,synthetic,train,667.1,,600.5,58.9
100060905918W500,1250.1499999999999,2324.85,1074.7,77.78,Kgething,86.74,95.0,1043.939966593921,95.0,static,train,1074.7,,2324.85,77.78
100061004119W400,304.9499999999998,1091.9499999999998,787.0,42.22,Kviking,46.31,,,46.31,synthetic,train,787.0,,1093.65,42.22
100061005216W500,1642.6,2595.7,953.1,66.11,Jrock_ck,91.8,,,91.8,synthetic,train,953.1,,2595.7,66.11
100061006117W500,1034.3500000000001,1865.5500000000002,831.2,52.22,Kgething,73.47,,,73.47,synthetic,train,831.2,,1862.5,
100061103324W400,1471.6,2383.0,911.4,72.0,Dbvrhl_lk,85.98,,,85.98,synthetic,train,911.4,,2383.0,72.0
100061106926W500,2517.6,3220.0,702.4,108.0,Dbvrhl_lk,,,,,,test,702.4,,3217.25,
100061204211W500,2055.1000000000004,3084.1000000000004,1029.0,89.44,Mpekisko,,,,,,test,1029.0,,1407.9,
100061305216W500,2148.6,3095.0,946.4,84.0,Dbluerdge,102.09,117.0,3676.9997927360064,117.0,static,train,,,,
100061306018W500,859.3499999999999,1701.85,842.5,48.89,Kvik_ss,62.54,,,62.54,synthetic,train,842.5,,1701.85,48.89
100061307518W500,235.35000000000002,866.75,631.4,35.5,Kgething,42.39,,,42.39,synthetic,train,631.4,,866.75,35.5
100061403127W400,1329.3999999999999,2259.6,930.2,64.5,Dstettler,80.18,,,80.18,synthetic,train,930.2,1662.7,1663.0,30.0
100061404814W400,14.399999999999977,704.0,689.6,29.0,Kvik_ss,32.61,,,32.61,synthetic,train,689.6,,282.4,
100061406920W500,775.4,1484.0,708.6,55.7,TRmontney,62.95,,,62.95,synthetic,train,708.6,,1484.0,55.7
100061408009W500,1073.6,1723.5,649.9,42.0,Dgilwood,64.85,,,64.85,synthetic,train,649.9,,1723.5,42.0
100061504803W500,105.15000000000009,967.45,862.3,29.44,Kbsbrv_ss,35.17,,,35.17,synthetic,train,862.3,,967.45,29.44
100061605518W500,1781.85,2758.45,976.6,71.67,Mbanff,98.02,,,98.02,synthetic,train,976.6,,1828.35,
100061608009W500,1137.0,1790.0,653.0,46.0,Dkeg_rv,68.02,,,68.02,synthetic,train,653.0,,1790.0,46.0
100061706804W600,1799.1000000000001,2485.8,686.7,77.78,PRbelloy,95.07,104.4444444,3307.0798941734433,104.4444444,static,train,686.7,,2485.8,77.78
100061805414W500,1689.05,2549.75,860.7,83.1,Dwabamun,86.37,,,86.37,synthetic,train,860.7,,2549.75,83.1
100062005015W500,2278.4,3291.5,1013.1,106.67,Dnisku,106.62,,,106.62,synthetic,train,1013.1,3291.5,3292.6,106.67
100062007823W500,1298.1,1859.0,560.9,18.0,Dwabamun,66.22,,,66.22,synthetic,train,560.9,,880.7,31.0
100062105118W500,2057.5,3062.5,1005.0,103.0,Melkton,104.15,,,104.15,synthetic,train,1005.0,,2828.0,
100062106425W500,1233.5,2081.9,848.4,66.1,Kbluesky,,,,,,test,848.4,,2081.9,66.1
100062203325W400,802.6,1730.5,927.9,55.6,Mpekisko,66.8,,,66.8,synthetic,train,,,,
100062303619W400,401.1500000000001,1280.15,879.0,38.89,Kmannvl,,,,,,test,879.0,,1280.15,38.89
100062306318W500,2150.2,2956.4,806.2,88.89,Dswan_hl,100.23,,,100.23,synthetic,train,806.2,,2929.6000000000004,96.11
100062307218W500,506.85,1222.25,715.4,35.0,PRbelloy,56.71,,,56.71,synthetic,train,715.4,,998.2,
100062406517W500,1286.0,2230.5,944.5,75.0,Dwabamun,83.02,,,83.02,synthetic,train,944.5,,1745.75,
100062506412W500,557.5999999999999,1587.0,1029.4,57.3,Kgething,69.18,,,69.18,synthetic,train,,,,
100062604715W500,2022.5000000000005,3198.1000000000004,1175.6,79.44,Melkton,112.29,,,112.29,synthetic,train,1175.6,,2977.9,
100062605918W500,1208.1,2116.1,908.0,75.56,Jfernie,79.04,,,79.04,synthetic,train,,,,
100062705713W500,1045.1,1809.2,764.1,98.0,Jpokerchp,70.03,,,70.03,synthetic,train,764.1,,1809.2,98.0
100062804714W500,557.8,1689.2,1131.4,48.33,Kbelly_rv,58.36,,,58.36,synthetic,train,1131.4,,1689.2,48.33
100062904514W500,2126.7000000000003,3281.8,1155.1,102.2,Mshunda,111.57,,,111.57,synthetic,train,1155.1,1975.25,1975.25,
100062904601W500,70.10000000000002,954.5,884.4,32.5,Kbelly_rv,,,,,,test,884.4,,910.0,32.7
100062905416W500,792.0,1712.5,920.5,43.33,Kcard_ss,60.46,,,60.46,synthetic,train,920.5,,1712.5,43.33
100062905913W500,1966.3000000000002,2787.4,821.1,84.44,Dswan_hl,,,,,,test,821.1,,2799.9,
100062906118W500,813.6,1785.5,971.9,69.0,Kviking,68.03,,,68.03,synthetic,train,971.9,,1785.5,69.0
100063007223W500,207.5,993.0,785.5,34.17,Kpeace_rv,45.69,,,45.69,synthetic,train,785.5,,993.0,34.17
100063008009W500,1096.8,1752.6,655.8,43.9,preCamb,66.76,,,66.76,synthetic,train,655.8,1720.65,1721.0,48.9
100063104713W500,2355.7000000000003,3406.3,1050.6,118.33,Dnisku,112.56,,,112.56,synthetic,train,,,,
100063205214W500,1517.25,2449.35,932.1,106.11,Mshunda,88.71,,,88.71,synthetic,train,932.1,,2449.35,106.11
100063206123W500,1455.3000000000004,2511.1000000000004,1055.8,29.44,Kgething,95.74,,,95.74,synthetic,train,1055.8,,3775.85,
100063306117W500,768.7000000000002,1675.8000000000002,907.1,33.33,Kmannvl,65.28,,,65.28,synthetic,train,907.1,,1664.4,
100063306217W500,1036.9499999999998,1938.85,901.9,65.56,TRmontney,,,,,,test,901.9,,1821.65,75.56
100063405415W500,698.8999999999999,1558.1,859.2,57.22,Kcard_ss,54.65,,,54.65,synthetic,train,,,,
100063504615W400,506.0,1216.5,710.5,44.0,Dduvernay,,,,,,test,710.5,,757.5,
100063506018W500,1103.5,2048.1,944.6,61.67,Kgething,79.18,,,79.18,synthetic,train,944.6,,2048.1,61.67
100063507018W500,488.95000000000005,1279.25,790.3,40.0,Kgething,56.5,,,56.5,synthetic,train,790.3,,2624.3,
100063605819W500,1317.2999999999997,2363.7,1046.4,72.78,Kgething,91.24,,,91.24,synthetic,train,1046.4,,2366.3,72.78
100063606213W500,1730.6999999999998,2717.6,986.9,87.78,Dswan_hl,,,,,,test,986.9,,2717.6,87.78
100063606312W500,358.75,1488.95,1130.2,42.78,Kbfs,62.06,,,62.06,synthetic,train,1130.2,,1488.95,45.56
100063606625W500,1201.7,1950.0,748.3,62.2,TRmontney,77.12,,,77.12,synthetic,train,748.3,,1950.0,62.2
100070104103W500,1781.7999999999997,2766.7,984.9,75.0,Dduvernay,,,,,,test,984.9,2296.4,2296.5,67.0
100070104810W500,820.9,1732.5,911.6,43.3,Kcard_ss,60.85,,,60.85,synthetic,train,911.6,,1732.5,43.3
100070206217W500,1075.3,1969.0,893.7,72.22,TRmontney,77.82,,,77.82,synthetic,train,893.7,,1615.1,
100070404912W500,2732.8500000000004,3718.55,985.7,78.33,Clynx,118.63,,,118.63,synthetic,train,,,,
100070505818W500,1402.4,2455.5,1053.1,84.2,Jnordegg,96.86,,,96.86,synthetic,train,1053.1,,2455.5,84.2
100070507708W500,-34.40000000000009,684.3,718.7,30.56,Mpekisko,,,,,,test,718.7,,684.3,30.56
100070606504W500,310.79999999999995,1012.0999999999999,701.3,39.44,Mbanff,45.59,,,45.59,synthetic,train,701.3,,1012.1,39.44
100070706116W500,997.7500000000001,1867.65,869.9,58.89,Kgething,,,,,,test,869.9,,1858.2,61.11
100070706314W500,1401.2,2329.0,927.8,54.44,Dwintrbrn,84.82,,,84.82,synthetic,train,927.8,,1474.4499999999998,55.56
100070906818W500,687.1,1498.5,811.4,61.2,Kgething,63.61,,,63.61,synthetic,train,811.4,,1498.5,61.2
100070907618W500,326.0,953.0,627.0,31.0,PRbelloy,46.39,,,46.39,synthetic,train,627.0,,903.0,32.3
100071005813W500,1460.0500000000002,2205.55,745.5,58.89,Dwabamun,79.65,,,79.65,synthetic,train,745.5,,1493.85,
100071106425W500,1459.8500000000004,2323.3500000000004,863.5,49.44,TRmontney,87.47,,,87.47,synthetic,train,863.5,,2137.1,49.44
100071306526W500,1013.5,1823.5,810.0,59.4,Kspirit_r,72.92,,,72.92,synthetic,train,810.0,,1745.5,59.6
100071406218W500,1001.8499999999998,1901.9499999999998,900.1,70.0,Kgething,73.83,,,73.83,synthetic,train,900.1,,1901.95,70.0
100071406220W500,834.8499999999999,1703.55,868.7,54.44,Kviking,64.91,90.55555556,2930.9567062093856,90.55555556,static,train,868.7,,2098.4,73.89
100071406317W500,1023.0,2061.5,1038.5,42.78,Mdebolt,,,,,,test,1038.5,,2061.5,42.78
100071505518W500,1570.6,2540.5,969.9,77.78,Jnordegg,93.47,,,93.47,synthetic,train,969.9,,2540.5,77.78
100071606217W500,1071.85,1981.35,909.5,64.44,TRmontney,,,,,,test,909.5,,1981.35,64.44
100071606224W500,1096.55,2138.35,1041.8,61.11,Kspirit_r,80.03,,,80.03,synthetic,train,1041.8,,1661.75,
100071906101W500,382.79999999999995,1023.0,640.2,17.1,Kellrslie,45.33,,,45.33,synthetic,train,640.2,,1023.0,17.1
100072103910W500,2224.15,3413.75,1189.6,107.22,Mshunda,118.23,,,118.23,synthetic,train,1189.6,,3413.75,107.22
100072106223W500,1312.0499999999997,2222.45,910.4,48.89,Kgething,86.88,,,86.88,synthetic,train,910.4,,2222.45,48.89
100072206324W500,795.2,1651.7,856.5,42.22,Kdunvegan,61.78,,,61.78,synthetic,train,856.5,,2218.65,68.89
100072206419W500,908.25,1654.75,746.5,37.78,Kbluesky,,,,,,test,746.5,,1027.75,
100072304811W400,-64.04999999999995,646.1500000000001,710.2,23.33,Kvik_ss,31.92,,,31.92,synthetic,train,710.2,,646.1500000000001,23.33
100072504012W500,2697.45,3901.1499999999996,1203.7,117.22,Dwabamun,,,,,,not assigned,1203.7,,3487.65,
100072504410W500,2137.25,3127.05,989.8,75.0,Direton,102.27,,,102.27,synthetic,train,989.8,3127.05,3127.5,75.0
100072507623W500,1942.8,2498.5,555.7,81.0,Dgilwood,82.04,,,82.04,synthetic,train,555.7,,2462.0,82.0
100072605920W500,640.9999999999998,1650.1999999999998,1009.2,49.44,Kcard_ss,62.77,,,62.77,synthetic,train,1009.2,,2355.3500000000004,104.44
100072706318W500,1684.7999999999997,2472.2,787.4,86.7,Dwintrbrn,,,,,,test,787.4,1866.5,1866.5,70.3
