UWI,"Depth subsea, m","BHT, C",Formation,"Synthetic Temp, C","Static Temp, C","True Temp, C",source,label,SurfaceLatitude_NAD27,SurfaceLongitude_NAD27,BottomLatitude_NAD27,BottomLongitude_NAD27,"oil total cum, bbl","gas total cum, mcf","water total cum, bbl",gor total average,"gas maximum, mcf","oil maximum, bbl","water maximum, bbl",yield total average,status,"DST BHT, C","Maximum Shut-in Pressure, kPa",GR,NPHI_SS,NPHI_LS,DPHI_SS,DPHI_LS,PEFZ,RHOB,CAL
100013603712W500,-267.1500000000001,26.67,Clynx,,,,,not assigned,52.216665,-115.579316,52.217223,-115.57814,242078.88337178706,7956539.078281137,649010.7596069535,48434208.11636275,111179.38152046941,11696.350894990199,8489.975516601378,6474.644742041872,producing,26.67,10535.2,134.211,0.358568130497934,0.2814890896122877,0.1284730749987628,0.1744957437204786,1.5455552656428706,110.18393576680056,8.6164
100020106719W500,760.9000000000002,10.0,Kgething,62.82,,62.82,synthetic,train,54.765531,-116.756869,54.765531,-116.756869,242110.37558243077,7992198.006072631,644732.7946570555,48434342.35015734,111607.05435454535,11685.114362982096,8451.843761638695,6473.440766377138,producing,10.0,6977.5,8.5353,0.1130871065415069,0.0523552346323088,0.0473889309386092,0.0690511794668754,3.80278384072712,-18.033168510645623,8.7312
100020107808W500,1088.15,20.0,Dgilwood,68.41,,68.41,synthetic,train,55.725199,-115.0966,55.725199,-115.0966,242170.54630393282,8059609.474917113,634244.2288252717,48434596.78426333,112426.69696634127,11657.245783618526,8357.81481598065,6471.386489934876,producing,20.0,330.9,10.7345,0.1556,0.0827579827320647,-0.1075,-0.0601,3.8815053057855353,2.801,7.9095
100020206322W500,1276.8000000000002,75.56,Kcadomin,82.49,,82.49,synthetic,train,54.416429,-117.211664,54.416429,-117.211664,242008.92982305292,7879014.449371905,663925.9572311122,48433914.71368004,110223.52942427176,11736.273699527643,8624.182423122704,6476.743690966036,producing,75.56,18085.0,66.0404,0.1542707042256219,0.1128030725393922,0.0413027311017443,0.0740615106406599,3.628683857245556,-138.72685197439034,6.9976
100020206419W500,1742.7999999999995,82.22,Dwintrbrn,,,,,test,54.503527,-116.758284,54.503527,-116.758284,242009.08637520677,7879394.546388146,664556.4610612385,48433915.9554019,110224.94928819068,11738.019670442387,8629.95414927963,6476.668412938965,producing,82.22,18024.81910783406,51.70718788892556,0.1666519303410201,0.1115518481155228,0.0567774222732978,0.0866436327462641,3.3953935805218625,-50.56527908626492,7.8496
100020206508W500,384.6,52.5,Kostracod,55.52,,55.52,synthetic,train,54.59164,-115.093174,54.59164,-115.093174,242089.17891669454,7968335.737109925,648058.5680549304,48434252.39396849,111318.714251354,11693.91142144127,8481.59203544497,6474.203677489712,producing,53.0,9343.0,79.386,0.1751,0.1463,-0.0038560051565207,0.0275,3.1241225422947743,2668.3357,218.4256
100020403021W400,895.5999999999999,51.11,Dnisku,62.6,,62.6,synthetic,train,51.533695,-112.896499,51.533695,-112.896499,3858.799,3058.25,4926.809,792.539,1137.132,1531.569,2163.066,1261.767,producing,72.22,13568.9,170.4366,0.3474460346777642,0.2964246203863997,0.1022010670083538,0.1551187647809186,1.8919336724012823,-48.63742353410351,8.0016
100020605904W500,1593.15,78.89,Clynx,,,,,test,54.066619,-114.586167,54.066619,-114.586167,242060.08010900515,7936336.78979686,655063.7681122153,48434131.052106634,110920.23753785453,11712.732277165938,8544.743576157947,6474.991639346876,producing,78.89,12431.3,56.55781914060505,0.2068161721138535,0.1394880042054257,0.0797048988634954,0.1093977816043096,3.1170809375538107,241.8890064237795,35.26328457669892
100020606216W500,1411.35,77.22,Dwabamun,,,,,test,54.328769,-116.385865,54.328769,-116.385865,242104.18726440598,7985566.07272584,646778.9396577753,48434317.03525892,111521.70921232532,11690.655032892479,8470.362738448574,6473.5491874491,producing,77.22,7598.0,6.4943,0.1117436233761635,0.0502826811331404,0.0476813237984089,0.0689448145677639,3.808159120806188,-12.681762446499192,8.8932
100020606512W500,1719.7,81.11,Dswan_hl,102.44,,102.44,synthetic,train,54.59095,-115.800609,54.59095,-115.800609,7967.932,3905.801,2256.153,490.19,727.482,1103.233,1291.927,2040.025,producing,81.11,19960.3,53.8651,0.1815455882811712,0.1224711883158524,0.0644243755029843,0.0948789318982256,3.228576017895364,-25.486734899634826,7.8263
100020807907W500,1043.0,51.4,Dgilwood,66.16,,66.16,synthetic,train,55.827183,-115.053728,55.827183,-115.053728,678969.348,227694.849,164059.647,335.354,2468.495,6402.398,3910.375,2981.927,producing,51.4,10621.0,102.5153,0.3839,0.333,0.0281339422423143,0.0817,2.3988112583911283,2571.4038,246.5575
100021106720W500,917.45,48.89,TRmontney,69.36,,69.36,synthetic,train,54.779575,-116.934038,54.779575,-116.934038,242085.91566793437,7964922.106166169,649405.9964219695,48434239.28142766,111273.41892727783,11697.575275958963,8493.812833195843,6474.232310345822,producing,48.89,9652.7,1.4623,0.1125095684615857,0.0477128493739688,0.0509045946280106,0.0711589908046844,3.7757796354196818,15.23580022006729,9.9527
100021306113W500,1774.85,80.3,Dswan_hl,89.84,,89.84,synthetic,train,54.272014,-115.808484,54.272014,-115.808484,3009.674,3.531,1790.71,1.173,3.531,1324.634,510.104,852357.406,producing,80.3,23628.0,16.1919,0.1729447816455478,0.0665,-0.0126200576517712,-0.0044,4.303895552268076,2702.4177,218.842
100021406411W500,1597.7500000000005,86.11,Dswan_hl,101.41,,101.41,synthetic,train,54.532786,-115.548827,54.532786,-115.548827,383311.765,229029.738,920349.014,597.503,20888.626,34544.899,16734.671,1673.633,producing,86.11,23849.0,3.3102,0.1314815329876223,0.0606846649128544,0.0613426994709097,0.0820532153847793,3.54628484093406,42.43414961567498,8.6109
100021406418W500,1429.85,98.89,Dwabamun,81.52,,81.52,synthetic,train,54.532982,-116.606434,54.532982,-116.606434,974.921,2807.517,12819.891,2879.738,861.678,516.393,4356.323,347.254,producing,98.89,20877.3,9.1686,0.1208181208385162,0.0575900194540805,0.0515975746713681,0.0735415143603726,3.693770947045977,-24.78864444166436,5.8667
100021503426W400,43.60000000000002,34.7,Kbelly_rv,,,,,test,51.911561,-113.60334,51.911561,-113.60334,65483.845,190328.392,118762.321,2906.494,9972.862,1854.865,2694.555,344.057,producing,34.7,3526.0,14.4934,0.2492427397870977,0.140556304440923,0.1289861195027619,0.1493198551414057,2.487995831051374,675.4349991601786,59.22415454245952
100021506315W500,828.3,54.44,Jfernie,71.81,,71.81,synthetic,train,54.446059,-116.176631,54.446059,-116.176631,242052.3821097999,7927394.261241343,655383.2047808412,48434097.599746145,110816.48355306381,11713.471151636597,8547.421827975626,6475.363154399309,producing,54.44,13348.3,0.6576,0.1290174982239919,0.0591,0.0258105048429448,0.047615942708382,3.712922000529295,24.662481277542724,7.8445
100021506419W500,978.45,50.0,Kgething,68.5,,68.5,synthetic,train,54.532626,-116.783175,54.532626,-116.783175,906217.706,2014920.696,6530211.775,2223.44,65134.372,74379.529,100063.971,449.754,producing,50.0,9452.7,26.2768,0.1410467060334058,0.0805292930456581,0.0547432931823151,0.0798701641836094,3.5611545648786103,-21.492741105614986,7.9627
100021506718W500,2006.5,89.3,Dswan_hl,,,,,test,54.793969,-116.655739,54.793969,-116.655739,242017.43939330606,7888848.79657938,663409.0805184158,48433951.5484848,110338.39928371103,11735.004202787457,8619.723988133224,6476.350418722275,producing,90.0,17082.0,14.0394,0.1013744744519839,0.0036,-0.0233663607351672,-0.0233,4.661631224783694,2734.7485,224.8634
100021708007W500,1015.7,42.4,Dmuskeg,65.56,,65.56,synthetic,train,55.928606,-115.055106,55.928606,-115.055106,304.427,113.007,776.791,371.212,49.441,108.814,217.627,2693.877,producing,42.4,16552.0,38.3693684963812,0.0747,-0.0025678341827985,-0.123214685554144,-0.1139,4.706,2904.8,240.2723937566884
100021805706W500,663.8499999999999,35.56,Mbanff,54.63,,54.63,synthetic,train,53.920714,-114.879054,53.920714,-114.879054,242119.8621176769,8002760.707670715,642868.9927477202,48434382.2790641,111736.50710397563,11680.139571841346,8435.09683838148,6473.139233134807,producing,35.56,5943.3,113.7889,0.2723652451230982,0.2153518787042702,0.0871881152415983,0.1292128307894022,2.4722458731784105,-26.35754663744126,7.675
100021806218W500,780.1000000000001,54.44,Kvik_ss,64.7,,64.7,synthetic,train,54.357824,-116.685876,54.357824,-116.685876,6.29,1378536.276,610.74,219163159.936,110471.341,6.29,93.089,0.005,producing,54.44,7239.5,4.012,0.0895322236942439,0.0349168617052171,0.0355629036634137,0.0563074053521781,4.065523752922484,-55.042925068272666,8.9861
100021806318W500,2277.25,96.11,Dgilwood,,,,,test,54.445332,-116.707517,54.445281,-116.707508,461.047,4060378.006,7525.778,8806863.522,57788.921,73.591,352.858,0.114,producing,54.44,6646.5,162.0369,0.2837452721318224,0.2515960557356221,0.0680694265987345,0.1193272628391328,2.6134869327265102,-176.68258765088183,6.8616
100021906119W500,898.3,58.33,Kviking,70.12,,70.12,synthetic,train,54.284707,-116.836282,54.284707,-116.836282,242149.69984513483,8036220.765916346,637769.9025222731,48434508.53893135,112142.84468524413,11666.602030874496,8389.40251155846,6472.109702080212,producing,58.33,2640.7,64.77677678742317,0.2923371970617289,0.1978557168139008,0.1280281713022697,0.1580370460070501,2.263313213049198,601.0278108705289,59.58038179146716
100022005123W400,249.1,39.5,Kvik_ss,,,,,test,53.412539,-113.352692,53.412539,-113.352692,97898.383,99276.583,32140.929,1014.078,1038.251,893.782,355.374,986.118,producing,39.5,5145.0,75.3967,0.190378991605803,0.0989,0.0097049415524371,0.0218,3.952267698604408,2669.2749,227.9907
100022006107W600,2511.6,118.33,Jnikanssn,,,,,not assigned,54.286208,-119.010002,54.286208,-119.010002,242006.07652546177,7876368.038874468,666191.4373196808,48433904.206723034,110182.74635407852,11742.483203016463,8644.812958294013,6476.65312789751,producing,118.33,18284.9,7.9544398428088385,-0.0270308867258759,-0.0273,0.0352523559730533,0.0603,5.488743706276955,2.6275,8.0647
100022007907W500,1036.9,41.6,Dgilwood,65.1,,65.1,synthetic,train,55.856291,-115.054382,55.856291,-115.054382,242133.42970541294,8018092.671822614,640927.1483756539,48434440.02308568,111920.86571650938,11675.025485130605,8417.765159849328,6472.631035418056,producing,41.6,4417.0,21.0206,0.2473216717483989,0.1419239383822561,0.131179013193189,0.145521591575325,3.4767276577856947,1783.5552440209258,203.2011
100022008108W500,1087.1,50.0,Dkeg_rv,66.98,,66.98,synthetic,train,56.030551,-115.210209,56.030551,-115.210209,10848.036,1211.293,16576.796,111.66,120.07,797.548,1117.07,8955.749,producing,50.0,16082.0,112.1872,0.3547863426365026,0.2582,0.0351699221773807,0.0701,3.224,2591.6587,228.8419
100022106317W500,2095.55,96.67,Dbvrhl_lk,106.26,,106.26,synthetic,train,54.45978,-116.505853,54.45978,-116.505853,241981.8773027798,7849131.589724926,670007.4843694821,48433801.5249259,109853.5414343223,11752.579381282147,8678.950479815303,6477.522069076513,producing,96.67,20984.228866566526,1.0459,0.1056734638136039,0.043199063373888,0.0469589761159884,0.0671508783219489,3.853159165817584,-3.831638451540925,9.3719
100022208108W500,1113.4,61.11,Dgrn_wash,68.64,,68.64,synthetic,train,56.030769,-115.158833,56.030769,-115.158833,242012.64083145582,7883091.238510032,663019.4707642454,48433930.1770156,110274.3618732419,11733.837224258576,8616.008770017972,6476.644594345781,producing,61.11,17692.0,59.285776119235166,0.2492806291317477,0.1678187452277489,0.1026982463886176,0.1342087615935863,2.431819338595419,115.65375275471628,7.9383
100022306625W500,2629.3500000000004,98.89,Dswan_hl,110.08,,110.08,synthetic,train,54.721493,-117.666031,54.721493,-117.666031,1475481.417,2242700.302,34493.326,1519.979,28403.587,22722.57,450.35,657.904,producing,98.89,37645.4,0.352,0.0848924806718434,0.0298249294763796,0.0346467731357854,0.054768308882711,4.090407527609723,-65.49628069305152,7.393
100022406617W500,715.95,57.78,Kgething,65.02,,65.02,synthetic,train,54.721834,-116.43032,54.721834,-116.43032,242056.3013117089,7931726.262005845,654511.0054201998,48434114.00564155,110870.07554599018,11711.13336421544,8539.568358271656,6475.249446350477,producing,57.78,12927.7,52.94085650997592,0.1800605724270641,0.1206844476455077,0.0642321758023997,0.0943603939412461,3.239780771790843,-22.71368919781696,7.9776
100022706319W500,1009.2,76.67,Jfernie,70.07,117.6111111,117.6111111,static,train,54.474444,-116.783194,54.474444,-116.783194,557537.002,809249.723,1536838.534,1451.473,74517.479,74436.766,48836.607,688.955,producing,76.67,14175.6,51.20214787040972,0.1617581963569176,0.1081925123684437,0.0540151827383459,0.0838544662208815,3.441476444724646,-73.23916932938744,6.1848
100022706625W500,524.2499999999999,42.22,Kdunvegan,,,,,test,54.736136,-117.691235,54.736136,-117.691235,242078.3452860555,7956285.806264555,650227.789881286,48434206.83104217,111170.83493373242,11699.705314688283,8501.089825027335,6474.543695507919,producing,42.22,10521.4,50.03933548968031,0.138989152327607,0.0931963700676692,0.0413795448603294,0.0708218132848946,3.794207063885052,-42.9452177926122,15.977310923606524
100022806320W500,373.5500000000002,42.22,Kcard_ss,43.8,,43.8,synthetic,train,54.474459,-116.959122,54.474459,-116.959122,242084.61655861433,7963230.413510418,648873.2896856248,48434233.119017266,111256.54501085234,11696.078262122,8488.899460496406,6474.357372978695,producing,58.89,9845.7,7.6509,0.1065222902588025,0.0477214355861541,0.0438948590016233,0.0653680106890727,3.878838757735382,-28.93397145218012,8.8966
100022806419W500,666.3,48.89,Kmannvl,55.9,111.0555556,111.0555556,static,train,54.561718,-116.808396,54.561718,-116.808396,5857766.213,7174252.298,13241953.139,1224.742,76954.191,62061.563,97187.641,816.498,producing,48.89,10411.1,51.80178580797941,0.1676859482345324,0.1122558584438433,0.0573518944734713,0.0872389836856342,3.383288320255818,-48.54017466234461,7.8436
100023008008W500,1133.9,43.33,preCamb,69.18,,69.18,synthetic,train,55.958219,-115.237392,55.958219,-115.237392,51473.3,19800.934,434551.078,384.684,1914.055,5168.338,19034.854,2599.539,producing,43.33,17243.8,123.3297,0.3189397867976439,0.2501857152072377,0.1102869772633465,0.1541997276218671,1.9612647436100392,50.88177474560973,7.9541
100023206413W500,1704.6,94.6,Dswan_hl,108.51,,108.51,synthetic,train,54.576006,-115.926213,54.576006,-115.926213,242012.03338217712,7882672.323048569,663966.0813853245,48433928.34934539,110265.17632916306,11736.442765037897,8624.647545261327,6476.5759517218685,producing,94.6,17704.28562220969,30.5129,0.0897455115637191,-0.0004,-0.0198831469100858,-0.0199,4.679804487916354,2749.1602,228.3779
100023206414W500,668.6499999999999,65.56,Kgething,71.67,,71.67,synthetic,train,54.57604,-116.077404,54.57604,-116.077404,242057.4068057228,7932941.326285362,654242.9176033002,48434118.61381923,110885.21619253138,11710.412941256076,8537.151302901806,6475.2197185465075,producing,65.56,12810.5,109.9599,0.2327504892000865,0.1883004901845426,0.0652896382376049,0.1064620460049514,2.939839214919836,-97.8057580968433,8.6299
100023303322W400,468.6499999999999,47.78,Kvik_ss,51.39,,51.39,synthetic,train,51.868988,-113.061037,51.868988,-113.061037,242029.29626752267,7901427.332602402,659076.4121358678,48433999.68866706,110502.36775456715,11723.248595605202,8580.471025530067,6476.186510705797,producing,47.78,15920.0,65.3746,0.2208160704170478,0.1539247345348246,0.0820851129940953,0.1147360698010482,2.8249761706955097,35.72309224741741,9.1185
100023306507W500,1408.05,70.0,Dmuskeg,84.49,,84.49,synthetic,train,54.663166,-114.994089,54.663166,-114.994089,242041.4249939495,7915399.969763641,658197.3154813916,48434052.06402329,110666.24666512689,11721.045536958238,8572.814058105418,6475.641115748542,producing,70.0,14499.7,57.03017302835328,0.2117311735476392,0.1428424704472919,0.0824820984289421,0.1121931416274555,3.068013826950097,262.5291675988757,36.66081889938668
100023407808W500,1084.65,49.0,Dmuskeg,,,,,test,55.798457,-115.148985,55.798457,-115.148985,400354.628,136236.922,708617.636,340.291,9026.429,17191.94,10993.96,2938.665,producing,49.0,16574.0,9.30592393277368,0.1130645747297297,0.011,0.0035228081680348,0.0043,4.329486749015627,2821.7734,213.946
100023506212W500,1654.3,60.0,Dswan_hl,98.77,,98.77,synthetic,train,54.400995,-115.685213,54.400995,-115.685213,241990.0521450471,7858076.412939938,667895.6438133471,48433835.487187944,109965.64287442018,11746.894310190773,8659.893445637183,6477.315996558273,producing,60.0,20126.0,54.46254329152681,0.2159328931478259,0.1221006641439781,0.0362673179737664,0.0532,3.9437521631444743,2618.9714,214.8587
100023506213W500,1725.5500000000002,90.56,Dswan_hl,99.86,,99.86,synthetic,train,54.401944,-115.834912,54.401944,-115.834912,242010.41747168402,7880875.047033338,664289.8144708748,48433921.55347321,110243.11890020051,11737.30745813127,8627.557409263227,6476.62664881656,producing,90.56,17880.04093265276,103.9737,0.2308199953998926,0.1834809547015585,0.0673420155895546,0.1073738110384994,2.9279114524134924,-81.28127966169711,8.6146
100023608010W500,1060.5,49.86,Dmuskeg,64.9,,64.9,synthetic,train,55.971211,-115.417427,55.971211,-115.417427,631.497,208.357,63.527,329.941,208.357,584.952,45.287,3030.841,producing,49.86,8599.0,145.161,0.0615,0.0268,0.0217,0.0618,2.7757,2612.1658,199.5246
100030906512W500,1713.3,30.56,Dwatt_mtn,,,,,test,54.606688,-115.757921,54.606688,-115.757921,637140.209,250882.459,255219.762,393.763,11925.763,6508.067,4903.536,2539.596,producing,30.56,12661.0,12.4786,0.2169196742460049,0.1176681853462996,0.117970335720387,0.1299643500960481,3.880916213178362,1845.4724411988543,216.2384
100031204517W500,2485.7,97.1,Kcadomin,,,,,not assigned,52.861549,-116.339258,52.861549,-116.339258,241951.78341220066,7815660.030668209,676036.4659047239,48433674.96205783,109442.7553156466,11768.682823271429,8733.141770043936,6478.466231623269,producing,97.1,24257.40730874701,13.6129,0.0767970463873415,0.0044,0.0694936293003928,0.0735,4.925958362153775,2602.833,224.0415
100031305615W500,943.6,53.89,Kvik_ss,,,,,test,53.835681,-116.099075,53.835681,-116.099075,242096.11464522447,7976335.494099216,647586.7373005375,48434282.3716379,111412.39374038509,11692.736971012699,8477.49583925488,6473.8885150451715,producing,53.89,8528.8,27.2961,0.1854511255718731,0.1155,-0.0191573141863779,0.0114,3.630695810687755,2.6905,9.3481
100031508009W500,1129.8,44.0,Dgrn_wash,,,,,test,55.928945,-115.325226,55.928945,-115.325226,493653.277,204125.848,1623489.493,413.5,3739.823,8832.781,7591.173,2418.377,producing,52.0,13774.0,533.2039,0.0200371496657669,0.1163,0.0785908890514632,0.113,2.4893,3524.6528,191.0519
100032106921W500,822.05,47.78,TRmontney,61.69,,61.69,synthetic,train,54.98337,-117.144123,54.98337,-117.144123,242047.12093438543,7921509.813115055,656331.9056828418,48434075.38054292,110744.78187731061,11715.995288498996,8555.932570658442,6475.539414635727,producing,47.78,13927.4,184.1587,0.3152156428854858,0.2842430827521522,0.0767154458610457,0.1309564685823035,2.556611630415236,48.70126948212794,35.854971082561846
100032205219W500,1159.7,41.0,Kcardium,,,,,test,53.500186,-116.721744,53.500186,-116.721744,0.0,745.139,0.0,48404739.135945335,745.139,0.0,0.0,0.0,producing,41.0,3420.0,128.74,0.1143885318880799,0.066,0.0504475464690044,0.0706,3.7509916621794224,2591.5525,139.8831
100032206603W600,852.5,46.0,Kdunvegan,62.96,,62.96,synthetic,train,54.723278,-118.370241,54.723278,-118.370241,242152.17275183808,8038965.175869109,637255.0284818357,48434518.92185762,112176.62135729649,11665.224980504987,8384.771514063395,6472.034185459327,producing,46.0,2373.0,174.7685,0.1824465179757788,0.1342,-0.0065422987693005,0.0176,3.934837007012394,2689.6733,216.7968
100032405416W500,1338.8000000000002,78.3,Kostracod,78.41,,78.41,synthetic,train,53.674208,-116.224166,53.673641,-116.22592,6766.577,394881.537,4329.283,58357.651,8772.163,388.71,255.995,17.136,producing,78.3,17734.0,26.6456,0.1014364194744501,0.0027,-0.0130901888064866,0.0005,4.814,2709.145,154.6992
100032506117W500,986.6,57.22,Kgething,,,,,test,54.300963,-116.42006,54.300963,-116.42006,535.265,1213457.865,6913.131,2267022.624,52873.119,136.489,314.491,0.441,producing,57.22,10411.1,13.448,0.1484,0.1076,-0.0329035853468143,0.003,3.3336318217546848,2.7703,9.2681
100032604920W500,993.8,60.5,Kbelly_rv,70.51,,70.51,synthetic,train,53.254172,-116.821819,53.254172,-116.821819,242066.86017669577,7943652.751544474,652982.1764902325,48434158.92891015,111013.57011428778,11707.104700528766,8525.91910529988,6474.855817589281,producing,60.5,11741.019177781462,21.9761,0.0401087873541208,0.0072,0.3186537235521655,0.3146,5.517869269799854,2182.2346,346.6871
100033006726W500,2761.3,80.0,Dslave_pt,114.42,,114.42,synthetic,train,54.823009,-117.955787,54.82305,-117.955628,241963.14196522385,7828479.530372072,674358.8486578186,48433723.25860802,109597.15352030177,11764.257813069244,8718.156941962738,6478.046298792993,producing,80.0,22983.0,35.5436,0.1874754418078608,0.1043,0.0982008140516352,0.1137,4.202854411448619,2516.7087,220.8856
100033008009W500,1074.75,48.89,Dmuskeg,65.05,,65.05,synthetic,train,55.958354,-115.401063,55.958354,-115.401063,72.962,24.72,415.756,338.807,24.72,72.962,415.756,2951.537,producing,48.89,11010.9,15.0347,0.2046989540240189,0.1134764071983911,0.0993754988062515,0.1224779022826221,2.717879123110809,168.3333324102797,8.1493
100033206015W500,988.6,68.33,Jfernie,69.2,,69.2,synthetic,train,54.227458,-116.21595,54.227458,-116.21595,242062.2803549838,7938530.482885119,653808.3675167796,48434139.58753184,110951.15383546721,11709.302921069884,8533.330880376216,6475.009213654241,producing,68.33,12245.1,45.6306,0.146306473282189,0.0853,0.0150075461182749,0.0408,3.5013346245889294,2.6403,8.4153
100033206322W500,1239.1,72.3,Kcadomin,79.32,,79.32,synthetic,train,54.490063,-117.293936,54.490063,-117.293936,2398.306,654532.64,1697.001,272914.566,19112.298,187.436,197.5,3.664,producing,72.3,7295.0,37.49941873722887,0.2022478681340127,0.130602869535846,0.0893307843466902,0.0731,3.5461,2585.0,375.7444
100040206609W500,427.8000000000002,49.44,Kmannvl,63.48,,63.48,synthetic,train,54.677848,-115.258412,54.677848,-115.258412,242094.3527273943,7974138.7748601455,647177.998040363,48434274.290387414,111389.16858261946,11691.573996929006,8473.701676059547,6474.024775482956,producing,49.44,8770.1,22.3739,0.1518285125987228,0.0842332148307846,0.0618053741954895,0.0859871839614396,3.409381182477004,2.7648,9.0122
100040207011W500,1449.15,66.11,Dwatt_mtn,89.78,,89.78,synthetic,train,55.026574,-115.574872,55.026574,-115.574872,242003.07964235905,7872550.131015763,665234.4592769451,48433890.23044476,110143.52570481069,11739.78147789179,8635.965389410532,6476.912723821707,producing,66.11,18712.4,0.3062,0.1468982556495348,0.0685033377620762,0.0722597455737674,0.092474600242558,3.334379851119764,81.99592911199682,7.7159
